Timestamp,Open,High,Low,Close,Volume
1514739600.0,13328.5,14340.0,13327.5,14100.5,81091266.0
1514743200.0,14100.5,14160.5,13925.5,14020.0,35588054.0
1514746800.0,14020.0,14091.5,13862.0,13925.5,20833207.0
1514750400.0,13925.5,14126.0,13885.0,14037.5,16228529.0
1514754000.0,14037.5,14350.0,14006.0,14176.0,37429987.0
1514757600.0,14176.0,14176.0,14007.0,14065.5,15537243.0
1514761200.0,14065.5,14172.5,13850.0,13962.0,22604485.0
1514764800.0,13962.0,14046.5,13827.5,13873.0,21797300.0
1514768400.0,13873.0,13920.0,13596.0,13670.5,32834682.0
1514772000.0,13670.5,13737.5,13280.0,13301.0,40062154.0
1514775600.0,13301.0,13473.0,13253.0,13427.0,25089526.0
1514779200.0,13427.0,13677.0,13313.0,13477.5,23845552.0
1514782800.0,13477.5,13679.5,13355.5,13665.5,19062277.0
1514786400.0,13665.5,13665.5,13507.5,13536.0,10351976.0
1514790000.0,13536.0,14011.5,13464.5,13871.5,29557649.0
1514793600.0,13871.5,13977.0,13620.0,13625.5,22564791.0
1514797200.0,13625.5,13770.0,13442.0,13500.0,20377816.0
1514800800.0,13500.0,13692.0,13473.5,13605.5,16692864.0
1514804400.0,13605.5,13617.0,13455.5,13579.5,9644750.0
1514808000.0,13579.5,13577.0,13036.5,13240.5,45449747.0
1514811600.0,13240.5,13302.0,13140.5,13190.0,20425564.0
1514815200.0,13190.0,13220.0,12901.0,13116.0,40824705.0
1514818800.0,13116.0,13259.0,12772.0,13222.5,48382156.0
1514822400.0,13222.5,13416.0,13132.0,13255.5,29538049.0
1514826000.0,13255.5,13276.5,13037.0,13075.0,25514212.0
1514829600.0,13075.0,13293.5,13050.5,13067.0,19075605.0
1514833200.0,13067.0,13365.0,13010.5,13180.0,26854802.0
1514836800.0,13180.0,13374.5,13132.5,13352.0,23334166.0
1514840400.0,13352.0,13589.5,13349.5,13487.5,34274485.0
1514844000.0,13487.5,13799.0,13478.0,13592.5,36678232.0
1514847600.0,13592.5,13743.5,13531.0,13572.5,18209245.0
1514851200.0,13572.5,13590.5,13425.0,13477.0,20313741.0
1514854800.0,13477.0,13979.0,13476.5,13852.5,45271289.0
1514858400.0,13852.5,13922.5,13721.0,13721.5,24683367.0
1514862000.0,13721.5,13776.0,13490.5,13552.5,30217291.0
1514865600.0,13552.5,13552.5,13280.0,13374.0,33365480.0
1514869200.0,13374.0,13433.0,12900.0,13106.5,53193035.0
1514872800.0,13106.5,13217.5,13060.0,13164.5,19458851.0
1514876400.0,13164.5,13425.0,13080.0,13362.0,25255687.0
1514880000.0,13362.0,13436.0,13257.5,13425.0,12950267.0
1514883600.0,13425.0,13587.0,13390.0,13459.0,19959342.0
1514887200.0,13459.0,13680.0,13466.0,13599.0,28086955.0
1514890800.0,13599.0,13790.0,13595.5,13697.0,23861882.0
1514894400.0,13697.0,13718.0,13552.5,13633.5,17830799.0
1514898000.0,13633.5,13741.0,13588.5,13639.5,22099312.0
1514901600.0,13639.5,14085.0,13625.0,14007.0,63742942.0
1514905200.0,14007.0,14049.5,13818.0,13883.5,35530550.0
1514908800.0,13883.5,13926.0,13650.5,13749.5,33592972.0
1514912400.0,13749.5,13931.5,13674.0,13716.0,29649296.0
1514916000.0,13716.0,14000.5,13708.5,13930.0,22837204.0
1514919600.0,13930.0,14834.5,13925.0,14669.5,114439876.0
1514923200.0,14669.5,15269.0,14653.5,14872.5,98377193.0
1514926800.0,14872.5,15246.5,14872.0,14874.0,55175640.0
1514930400.0,14874.0,15038.5,14747.5,14854.0,32383231.0
1514934000.0,14854.0,15099.5,14827.0,14832.5,24133663.0
1514937600.0,14832.5,14968.0,14670.0,14786.5,38063528.0
1514941200.0,14786.5,15080.0,14781.0,14914.5,35127098.0
1514944800.0,14914.5,14967.5,14818.0,14934.5,21214008.0
1514948400.0,14934.5,15169.0,14843.5,15111.5,36966997.0
1514952000.0,15111.5,15337.0,14860.0,14900.0,51809414.0
1514955600.0,14900.0,15239.0,14900.5,15122.5,30288871.0
1514959200.0,15122.5,15239.0,15023.5,15137.5,21363028.0
1514962800.0,15137.5,15500.0,15097.0,15480.0,49215204.0
1514966400.0,15480.0,15524.0,15269.5,15365.5,38274607.0
1514970000.0,15365.5,15365.5,15120.0,15154.5,32931816.0
1514973600.0,15154.5,15210.5,14830.0,14874.0,51776175.0
1514977200.0,14874.0,14966.5,14555.0,14782.5,52343548.0
1514980800.0,14782.5,14898.5,14717.0,14885.0,25405714.0
1514984400.0,14885.0,14937.5,14555.5,14620.0,40300556.0
1514988000.0,14620.0,14989.5,14599.0,14951.0,25399827.0
