Timestamp,High,Low,Open,Close,Volume,Adj Close
1504224000,394.35283998,384.0,386.35000002,389.48999998,16574587.216406,389.34885201
1504310400,390.83985999,321.07808116,389.48999998,344.85,36420300.939595,351.96114664
1504396800,371.00000003,329.09,344.85343571,350.671001,22229038.069117,350.14711333
1504483200,351.62700994,271.46,350.671001,296.51052269,52796642.477374,299.90533574
1504569600,322.99999999,267.0,296.51052269,316.0,33001671.00528,296.03020098
1504656000,340.09999997,313.83,315.83941667,336.65014001,20279708.107126,328.49419099
1504742400,338.64771,318.1,336.65014001,335.0,10457683.630884,329.73641713
1504828800,335.40000002,277.0,335.00000001,305.19499999,28508225.615248,302.89038175
1504915200,306.81653601,291.01000011,304.99999998,302.90014023,9582884.6906491,300.16773008
1505001600,304.78,276.0,303.88513577,298.24023023,12959429.521285,290.04922186
1505088000,307.94989997,288.01114002,298.24023022,297.75329999,10259960.530636,296.53930072
1505174400,317.0,284.86167338,297.32253522,294.41019999,15943995.460135,301.62496525
1505260800,294.40803,256.79902,294.40803,276.49985534,24598248.390415,272.36198261
1505347200,280.60724568,221.0,276.49985531,222.50000001,29949454.013276,243.05214975
1505433600,265.0,199.0,222.50000001,258.4356851,46478615.463571,234.84887921
1505520000,272.27099999,242.0,258.66640455,253.73655529,21591604.727894,256.26240469
1505606400,264.01999981,239.0,253.73655516,257.59957999,8551623.4529225,252.75742541
1505692800,299.58948287,256.61287,257.59936998,296.91650618,27081363.426938,285.85691045
1505779200,299.0,275.1,296.91650618,283.01234526,14277734.68429,285.59013857
1505865600,294.8060726,275.75200001,283.01234526,284.25583949,8769807.8764153,285.17724109
1505952000,287.78592992,251.00000001,283.31100001,257.0,12886657.936447,270.44509458
1506038400,270.63054754,253.02000002,257.3671598,262.06658091,8350162.0854856,260.21509741
1506124800,287.0,258.51921031,262.06658091,286.12758001,7613640.0599551,277.41620269
1506211200,294.80200001,274.12719569,286.12758001,283.16950999,8491498.6094371,284.74661957
1506297600,297.5,281.9,282.74921,294.99999997,8532662.6296711,292.15907978
1506384000,296.99999862,285.6735,294.99999997,288.85154042,5334177.6804025,291.83856374
1506470400,313.12999365,287.80119002,288.85154042,310.74533988,10489101.314409,300.14833839
1506556800,310.99999971,298.0,309.65773124,303.19972871,10273515.024564,304.25249843
1506643200,303.88456325,278.01297001,303.59023981,293.10237464,11691495.542421,289.66015632
1506729600,307.59992996,292.17100089,293.10237464,303.00000011,4658451.2903833,302.44556851
1506816000,305.89800004,295.20000039,303.16,304.60107,3510683.5693421,300.33940815
1506902400,304.99999999,293.4088169,304.60107,297.1,3959360.7599711,299.7960638
1506988800,300.37202186,286.12007002,297.1,292.21593129,5503497.3724082,291.02688538
1507075200,296.0,288.01000001,291.44999997,292.000103,2788596.5406235,292.66049597
1507161600,297.64452699,285.97999568,290.87584001,294.86673798,3936858.7317559,292.30979454
1507248000,309.51476805,293.45592963,295.75308998,309.51476805,4121971.1711863,301.30373928
1507334400,315.54999998,305.0,308.99999989,311.5,6696952.1537417,310.01217779
